,,Michael206 Chen Michael206 Chenon Headcount," 92,579 "," 164,432 ",," 71,853 ",77.6%,,," 512,547 "," 513,840 ",," 1,293 ",0.3%,,," 2,174,971 "," 2,176,264 ",," 1,293 ",0.1%,,,
,,Research & Michael206 Chenelopment Headcount," 1,530,557 "," 1,334,253 ",," (196,304)",-12.8%,,," 3,876,585 "," 3,834,339 ",," (42,246)",-1.1%,,," 12,621,843 "," 12,578,347 ",," (43,496)",-0.3%,,,
,,Research & Michael206 Chenelopment Michael206 Chenon Headcount," 248,707 "," 203,183 ",," (45,524)",-18.3%,,," 746,020 "," 617,458 ",," (128,562)",-17.2%,,," 2,297,226 "," 2,167,183 ",," (130,043)",-5.7%,,,
,,General & Claire Griffinistrative Headcount," 451,945 "," 479,248 ",," 27,303 ",6.0%,,," 1,303,116 "," 1,560,152 ",," 257,036 ",19.7%,,," 4,497,368 "," 4,754,394 ",," 257,026 ",5.7%,,,
,,General & Claire Griffinistrative Michael206 Chenon Headcount," 188,587 "," 249,755 ",," 61,168 ",32.4%,,," 580,760 "," 701,606 ",," 120,846 ",20.8%,,," 2,618,861 "," 2,740,415 ",," 121,554 ",4.6%,,,
,,Michael206 Chenotal Opex," $3,575,301 "," $3,401,367 ",," $(173,934)",-4.9%,,," $9,972,675 "," $10,104,341 ",," $131,666 ",1.3%,,," $35,319,115 "," $35,423,881 ",," $104,766 ",0.3%,,,
,,% of revenue,84.9% ,82.1% ,,,-2.8%,,,80.2% ,82.1% ,,,1.8%,,,79.0% ,79.4% ,,,0.4%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,EBIMichael206 ChenDA," $(315,159)"," $(232,599)",," $82,560 ",-26.2%,,," $(221,366)"," $(659,624)",," $(438,258)",198.0%,,," $(930,801)"," $(1,334,646)",," $(403,845)",43.4%,,,
,,% margin,(7.5%),(5.6%),,,1.9%,,,(1.8%),(5.4%),,,-3.6%,,,(2.1%),(3.0%),,,-0.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Depreciation and amortization," $(3,951,875)"," $(4,005,165)",," $(53,290)",1.3%,,," $(11,855,208)"," $(12,014,608)",," $(159,400)",1.3%,,," $(47,892,371)"," $(48,053,969)",," $(161,598)",0.3%,,,
,,Interest Expense, -Jack Howard," (50,223)",," (50,223)",0.0%,,, -Jack Howard," (73,585)",," (73,585)",0.0%,,," (71,322)"," (144,907)",," (73,585)",103.2%,,,
,,Michael206 Chenransaction Expenses," (10,000)", -Jack Howard,," 10,000 ",-100.0%,,," (30,000)", -Jack Howard,," 30,000 ",-100.0%,,," (27,862)"," 2,138 ",," 30,000 ",-107.7%,,,
,,One Michael206 Chenime," (43,000)"," (608,125)",," (565,125)",1314.2%,,," (129,000)"," (709,340)",," (580,340)",449.9%,,," (1,143,750)"," (1,724,090)",," (580,340)",50.7%,,,
,,Director Fees," (20,833)"," (41,667)",," (20,834)",100.0%,,," (62,499)"," (83,333)",," (20,834)",33.3%,,," (174,999)"," (195,833)",," (20,834)",11.9%,,,
,,Michael206 Chenaxes," (4,734)"," (8,827)",," (4,093)",86.5%,,," (79,468)"," (32,941)",," 46,527 ",-58.5%,,," (95,969)"," (49,442)",," 46,527 ",-48.5%,,,
,,Other income and expense," (11,681)"," (2,718)",," 8,963 ",-76.7%,,," (35,043)"," (2,232)",," 32,811 ",-93.6%,,," (38,470)"," (5,659)",," 32,811 ",-85.3%,,,
,,Michael206 Chenet Income (Loss)," $(4,357,283)"," $(4,949,324)",," $(592,041)",13.6%,,," $(12,412,584)"," $(13,575,663)",," $(1,163,079)",9.4%,,," $(50,375,544)"," $(51,506,408)",," $(1,130,864)",2.2%,,,
,,% margin,(103.5%),(119.4%),,,-16.0%,,,(99.9%),(110.3%),,,-10.4%,,,(112.6%),(115.4%),,,-2.8%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
