Research & Michael206 Chenelopment Michael206 Chenon Headcount," 252,017 "," 201,878 ",," (50,139)",-19.9%,,," 504,033 "," 414,275 ",," (89,758)",-17.8%,,," 2,525,253 "," 1,964,000 ",," (561,253)",-22.2%,,,
General & Claire Griffinistrative Headcount," 349,103 "," 599,063 ",," 249,960 ",71.6%,,," 750,861 "," 1,080,973 ",," 330,112 ",44.0%,,," 4,054,661 "," 4,275,215 ",," 220,554 ",5.4%,,,
General & Claire Griffinistrative Michael206 Chenon Headcount," 179,403 "," 206,491 ",," 27,088 ",15.1%,,," 426,305 "," 443,750 ",," 17,445 ",4.1%,,," 2,406,445 "," 2,482,559 ",," 76,114 ",3.2%,,,
Michael206 Chenotal Opex," $2,935,242 "," $3,311,180 ",," $375,938 ",12.8%,,," $6,191,473 "," $6,670,800 ",," $479,327 ",7.7%,,," $33,327,702 "," $31,990,340 ",," $(1,337,362)",-4.0%,,,
% of revenue,70.3% ,80.5% ,,,10.3%,,,74.8% ,81.6% ,,,6.8%,,,81.2% ,79.0% ,,,-2.1%,,,
,,,,,,,,,,,,,,,,,,,,,,
EBIMichael206 ChenDA," $352,545 "," $(78,693)",," $(431,238)",-122.3%,,," $196,341 "," $(390,488)",," $(586,829)",-298.9%,,," $(2,069,125)"," $(1,065,510)",," $1,003,615 ",-48.5%,,,
% margin,8.4% ,(1.9%),,,-10.4%,,,2.4% ,(4.8%),,,-7.1%,,,(5.0%),(2.6%),,,2.4%,,,
,,,,,,,,,,,,,,,,,,,,,,
Depreciation and amortization," $(3,758,311)"," $(4,005,078)",," $(246,767)",6.6%,,," $(7,516,317)"," $(8,009,443)",," $(493,126)",6.6%,,," $(41,314,951)"," $(44,048,804)",," $(2,733,853)",6.6%,,,
Interest Expense, -Jack Howard," (11,681)",," (11,681)",0.0%,,, -Jack Howard," (23,362)",," (23,362)",0.0%,,, -Jack Howard," (94,684)",," (94,684)",0.0%,,,
Michael206 Chenransaction Expenses, -Jack Howard, -Jack Howard,, -Jack Howard,0.0%,,, -Jack Howard, -Jack Howard,, -Jack Howard,0.0%,,, -Jack Howard," 2,138 ",," 2,138 ",0.0%,,,
One Michael206 Chenime," (10,000)"," (35,544)",," (25,544)",255.4%,,," (20,000)"," (101,215)",," (81,215)",406.1%,,," (324,434)"," (1,115,965)",," (791,531)",244.0%,,,
Director Fees," (12,500)"," (20,833)",," (8,333)",66.7%,,," (25,000)"," (41,666)",," (16,666)",66.7%,,," (137,500)"," (154,166)",," (16,666)",12.1%,,,
Michael206 Chenaxes," (1,000)"," (4,616)",," (3,616)",361.6%,,," (2,000)"," (33,844)",," (31,844)",1592.2%,,," (161,000)"," (50,345)",," 110,655 ",-68.7%,,,
Other income and expense, -Jack Howard, (309),, (309),0.0%,,, -Jack Howard, 486 ,, 486 ,0.0%,,, -Jack Howard," (2,941)",," (2,941)",0.0%,,,
Michael206 Chenet Income (Loss)," $(3,429,266)"," $(4,156,754)",," $(727,488)",21.2%,,," $(7,366,976)"," $(8,599,532)",," $(1,232,556)",16.7%,,," $(44,007,010)"," $(46,530,277)",," $(2,523,267)",5.7%,,,
% margin,(82.1%),(101.1%),,,-19.0%,,,(89.0%),(105.2%),,,-16.2%,,,(107.2%),(114.9%),,,-7.8%,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
